id,gen,sp,ssp,group,en,rec,cnt,loc,lat,lng,alt,type,sex,stage,method,url,file,file-name,sono,osci,lic,q,length,time,date,uploaded,also,rmk,bird-seen,animal-seen,playback-used,temp,regnr,auto,dvc,mic,smp
80263,Pyriglena,maura,maura,birds,Western Fire-eye,Jeremy Minns,Brazil,"Corumbá, MS",-19.01,-57.6528,150,song,,,field recording,//xeno-canto.org/80263,https://xeno-canto.org/80263/download,PYRLNT04.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/DGVLLRYDXS/ffts/XC80263-small.png', 'med': '//xeno-canto.org/sounds/uploaded/DGVLLRYDXS/ffts/XC80263-med.png', 'large': '//xeno-canto.org/sounds/uploaded/DGVLLRYDXS/ffts/XC80263-large.png', 'full': '//xeno-canto.org/sounds/uploaded/DGVLLRYDXS/ffts/XC80263-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/DGVLLRYDXS/wave/XC80263-small.png', 'med': '//xeno-canto.org/sounds/uploaded/DGVLLRYDXS/wave/XC80263-med.png', 'large': '//xeno-canto.org/sounds/uploaded/DGVLLRYDXS/wave/XC80263-large.png'}",//creativecommons.org/licenses/by-nc-sa/3.0/,A,0:21,07:31,2000-01-16,2011-06-07,['Crypturellus undulatus'],Forest at foot of the Morro do Urucum. Two natural songs by a bird in thick undergrowth. Male seen after playback.,unknown,unknown,unknown,,,no,,,44100
38467,Pyriglena,similis,,birds,Tapajos Fire-eye,Andrew Spencer,Brazil,"Cristalino Jungle Lodge, MT",-9.5981,-55.932,250,song,,,field recording,//xeno-canto.org/38467,https://xeno-canto.org/38467/download,White-backed Fire-eye2009-8-23-1part1.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/CDTGHVBGZP/ffts/XC38467-small.png', 'med': '//xeno-canto.org/sounds/uploaded/CDTGHVBGZP/ffts/XC38467-med.png', 'large': '//xeno-canto.org/sounds/uploaded/CDTGHVBGZP/ffts/XC38467-large.png', 'full': '//xeno-canto.org/sounds/uploaded/CDTGHVBGZP/ffts/XC38467-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/CDTGHVBGZP/wave/XC38467-small.png', 'med': '//xeno-canto.org/sounds/uploaded/CDTGHVBGZP/wave/XC38467-med.png', 'large': '//xeno-canto.org/sounds/uploaded/CDTGHVBGZP/wave/XC38467-large.png'}",//creativecommons.org/licenses/by-nc-nd/2.5/,A,1:18,07:25,2009-08-23,2009-09-05,[],,unknown,unknown,unknown,,,no,,,44100
754583,Pyriglena,similis,,birds,Tapajos Fire-eye,JAYRSON ARAUJO DE OLIVEIRA,Brazil,"Sinop, Cascalheiras - Mato Grosso",-11.7519,-55.638,340,song,uncertain,adult,in the hand,//xeno-canto.org/754583,https://xeno-canto.org/754583/download,XC754583-18-09-2022-8e13-Papa-taoca-do-tapajos.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/LXKLWEDKEM/ffts/XC754583-small.png', 'med': '//xeno-canto.org/sounds/uploaded/LXKLWEDKEM/ffts/XC754583-med.png', 'large': '//xeno-canto.org/sounds/uploaded/LXKLWEDKEM/ffts/XC754583-large.png', 'full': '//xeno-canto.org/sounds/uploaded/LXKLWEDKEM/ffts/XC754583-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/LXKLWEDKEM/wave/XC754583-small.png', 'med': '//xeno-canto.org/sounds/uploaded/LXKLWEDKEM/wave/XC754583-med.png', 'large': '//xeno-canto.org/sounds/uploaded/LXKLWEDKEM/wave/XC754583-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,B,0:12,8:13,2022-09-18,2022-10-08,['Myrmoborus myotherinus'],,yes,yes,yes,,,no,Panasonic RRUS551,Embutido,44100
754581,Pyriglena,similis,,birds,Tapajos Fire-eye,JAYRSON ARAUJO DE OLIVEIRA,Brazil,"Sinop, Cascalheiras - Mato Grosso",-11.7519,-55.638,340,song,uncertain,adult,in the hand,//xeno-canto.org/754581,https://xeno-canto.org/754581/download,XC754581-18-09-2022-8e10-Papa-taoca-do-tapajos-e-formigueiro-de-cauda-baia-(Pyriglena-similis).mp3,"{'small': '//xeno-canto.org/sounds/uploaded/LXKLWEDKEM/ffts/XC754581-small.png', 'med': '//xeno-canto.org/sounds/uploaded/LXKLWEDKEM/ffts/XC754581-med.png', 'large': '//xeno-canto.org/sounds/uploaded/LXKLWEDKEM/ffts/XC754581-large.png', 'full': '//xeno-canto.org/sounds/uploaded/LXKLWEDKEM/ffts/XC754581-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/LXKLWEDKEM/wave/XC754581-small.png', 'med': '//xeno-canto.org/sounds/uploaded/LXKLWEDKEM/wave/XC754581-med.png', 'large': '//xeno-canto.org/sounds/uploaded/LXKLWEDKEM/wave/XC754581-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,B,0:10,8:10,2022-09-18,2022-10-08,['Sciaphylax hemimelaena'],,yes,yes,yes,,,no,Panasonic RRUS551,Embutido,44100
754579,Pyriglena,similis,,birds,Tapajos Fire-eye,JAYRSON ARAUJO DE OLIVEIRA,Brazil,"Sinop, Cascalheiras - Mato Grosso",-11.7519,-55.638,340,song,uncertain,adult,in the hand,//xeno-canto.org/754579,https://xeno-canto.org/754579/download,XC754579-18-09-2022-8e6-Papa-taoca-do-tapajos.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/LXKLWEDKEM/ffts/XC754579-small.png', 'med': '//xeno-canto.org/sounds/uploaded/LXKLWEDKEM/ffts/XC754579-med.png', 'large': '//xeno-canto.org/sounds/uploaded/LXKLWEDKEM/ffts/XC754579-large.png', 'full': '//xeno-canto.org/sounds/uploaded/LXKLWEDKEM/ffts/XC754579-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/LXKLWEDKEM/wave/XC754579-small.png', 'med': '//xeno-canto.org/sounds/uploaded/LXKLWEDKEM/wave/XC754579-med.png', 'large': '//xeno-canto.org/sounds/uploaded/LXKLWEDKEM/wave/XC754579-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,B,0:04,8:06,2022-09-18,2022-10-08,[],,yes,yes,yes,,,no,Panasonic RRUS551,Embutido,44100
708374,Campylopterus,diamantinensis,,birds,Diamantina Sabrewing,Guilherme de Melo Becher,Brazil,"Trilha do Pico da Lapinha, Lapinha da Serra-MG, Minas Gerais",-19.1083,-43.6708,1430,call,,,field recording,//xeno-canto.org/708374,https://xeno-canto.org/708374/download,XC708374-MixPre-130 possivel C diamantinensis.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/VWCBCAIJUC/ffts/XC708374-small.png', 'med': '//xeno-canto.org/sounds/uploaded/VWCBCAIJUC/ffts/XC708374-med.png', 'large': '//xeno-canto.org/sounds/uploaded/VWCBCAIJUC/ffts/XC708374-large.png', 'full': '//xeno-canto.org/sounds/uploaded/VWCBCAIJUC/ffts/XC708374-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/VWCBCAIJUC/wave/XC708374-small.png', 'med': '//xeno-canto.org/sounds/uploaded/VWCBCAIJUC/wave/XC708374-med.png', 'large': '//xeno-canto.org/sounds/uploaded/VWCBCAIJUC/wave/XC708374-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,B,1:12,10:00,2022-03-03,2022-03-14,[],"não estou 100% seguro desta id, porém bate com chamados do grupo Campylopterus. Um indivíduo foi avistado, fotografado e gravado poucos minutos antes, verificar XC708373",no,no,yes,,,no,,,44100
580956,Pyriglena,similis,,birds,Tapajos Fire-eye,Scott Olmstead,Brazil,"Cristalino Jungle Lodge, Mato Grosso",-9.5969,-55.9338,260,song,,,field recording,//xeno-canto.org/580956,https://xeno-canto.org/580956/download,XC580956-2006-06-08-White-backed Fire-eye song-SOlmstead.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/DABODLPUPA/ffts/XC580956-small.png', 'med': '//xeno-canto.org/sounds/uploaded/DABODLPUPA/ffts/XC580956-med.png', 'large': '//xeno-canto.org/sounds/uploaded/DABODLPUPA/ffts/XC580956-large.png', 'full': '//xeno-canto.org/sounds/uploaded/DABODLPUPA/ffts/XC580956-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/DABODLPUPA/wave/XC580956-small.png', 'med': '//xeno-canto.org/sounds/uploaded/DABODLPUPA/wave/XC580956-med.png', 'large': '//xeno-canto.org/sounds/uploaded/DABODLPUPA/wave/XC580956-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,B,0:25,?,2006-06-08,2020-08-05,['Rhegmatorhina gymnops'],At antswarm.,yes,yes,unknown,,,no,,,44100
385745,Pyriglena,maura,,birds,Western Fire-eye,Tulio Dornas,Brazil,"ribeirão chiqueirão, Rosário Oeste, Mato Grosso",-15.1274,-56.6437,220,song,,,field recording,//xeno-canto.org/385745,https://xeno-canto.org/385745/download,XC385745-Pyriglena_leuconota_Basileuterus_hypoleucus_Dromococcyx_phasianellus_M6_Trans_2-3_Jangada_MT.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/MTUQGBMRNC/ffts/XC385745-small.png', 'med': '//xeno-canto.org/sounds/uploaded/MTUQGBMRNC/ffts/XC385745-med.png', 'large': '//xeno-canto.org/sounds/uploaded/MTUQGBMRNC/ffts/XC385745-large.png', 'full': '//xeno-canto.org/sounds/uploaded/MTUQGBMRNC/ffts/XC385745-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/MTUQGBMRNC/wave/XC385745-small.png', 'med': '//xeno-canto.org/sounds/uploaded/MTUQGBMRNC/wave/XC385745-med.png', 'large': '//xeno-canto.org/sounds/uploaded/MTUQGBMRNC/wave/XC385745-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,B,0:44,06:30,2013-07-04,2017-09-09,[],,yes,yes,yes,,,no,,,44100
333327,Pyriglena,maura,,birds,Western Fire-eye,Jeremy Minns,Brazil,"Comodoro, Mato Grosso",-13.3001,-59.8001,550,call,,,field recording,//xeno-canto.org/333327,https://xeno-canto.org/333327/download,XC333327-UNID0478.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/DGVLLRYDXS/ffts/XC333327-small.png', 'med': '//xeno-canto.org/sounds/uploaded/DGVLLRYDXS/ffts/XC333327-med.png', 'large': '//xeno-canto.org/sounds/uploaded/DGVLLRYDXS/ffts/XC333327-large.png', 'full': '//xeno-canto.org/sounds/uploaded/DGVLLRYDXS/ffts/XC333327-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/DGVLLRYDXS/wave/XC333327-small.png', 'med': '//xeno-canto.org/sounds/uploaded/DGVLLRYDXS/wave/XC333327-med.png', 'large': '//xeno-canto.org/sounds/uploaded/DGVLLRYDXS/wave/XC333327-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,B,0:33,07:28,2003-04-02,2016-09-05,['Machaeropterus pyrocephalus'],campinarana,no,no,no,,,no,,,44100
246020,Pyriglena,similis,,birds,Tapajos Fire-eye,Jeremy Minns,Brazil,"Cristalino Jungle Lodge, MT",-9.5981,-55.932,260,song,male,,field recording,//xeno-canto.org/246020,https://xeno-canto.org/246020/download,XC246020-PYRLNT05.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/DGVLLRYDXS/ffts/XC246020-small.png', 'med': '//xeno-canto.org/sounds/uploaded/DGVLLRYDXS/ffts/XC246020-med.png', 'large': '//xeno-canto.org/sounds/uploaded/DGVLLRYDXS/ffts/XC246020-large.png', 'full': '//xeno-canto.org/sounds/uploaded/DGVLLRYDXS/ffts/XC246020-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/DGVLLRYDXS/wave/XC246020-small.png', 'med': '//xeno-canto.org/sounds/uploaded/DGVLLRYDXS/wave/XC246020-med.png', 'large': '//xeno-canto.org/sounds/uploaded/DGVLLRYDXS/wave/XC246020-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,B,0:48,16:05,2000-09-15,2015-05-25,"['Ramphastos tucanus', 'Lipaugus vociferans']",terra firme forest - natural and after playback,yes,yes,yes,,,no,,,44100
171180,Pyriglena,maura,maura,birds,Western Fire-eye,GABRIEL LEITE,Brazil,"Jauru, Mato Grosso",-15.2102,-58.8885,500,call,male,,field recording,//xeno-canto.org/171180,https://xeno-canto.org/171180/download,XC171180-Piryglena leuconota_Jauru_1424.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/TGBFXDVERJ/ffts/XC171180-small.png', 'med': '//xeno-canto.org/sounds/uploaded/TGBFXDVERJ/ffts/XC171180-med.png', 'large': '//xeno-canto.org/sounds/uploaded/TGBFXDVERJ/ffts/XC171180-large.png', 'full': '//xeno-canto.org/sounds/uploaded/TGBFXDVERJ/ffts/XC171180-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/TGBFXDVERJ/wave/XC171180-small.png', 'med': '//xeno-canto.org/sounds/uploaded/TGBFXDVERJ/wave/XC171180-med.png', 'large': '//xeno-canto.org/sounds/uploaded/TGBFXDVERJ/wave/XC171180-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,B,0:44,11:00,2014-03-25,2014-03-26,['Thamnophilus doliatus'],,yes,yes,yes,,,no,,,48000
169430,Pyriglena,similis,,birds,Tapajos Fire-eye,Micah Riegner,Brazil,"Cristalino Jungle Lodge, MT",-9.5981,-55.932,260,song,,,field recording,//xeno-canto.org/169430,https://xeno-canto.org/169430/download,XC169430-9991290.MP3,"{'small': '//xeno-canto.org/sounds/uploaded/TXYAPFWGKB/ffts/XC169430-small.png', 'med': '//xeno-canto.org/sounds/uploaded/TXYAPFWGKB/ffts/XC169430-med.png', 'large': '//xeno-canto.org/sounds/uploaded/TXYAPFWGKB/ffts/XC169430-large.png', 'full': '//xeno-canto.org/sounds/uploaded/TXYAPFWGKB/ffts/XC169430-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/TXYAPFWGKB/wave/XC169430-small.png', 'med': '//xeno-canto.org/sounds/uploaded/TXYAPFWGKB/wave/XC169430-med.png', 'large': '//xeno-canto.org/sounds/uploaded/TXYAPFWGKB/wave/XC169430-large.png'}",//creativecommons.org/licenses/by-nc-sa/3.0/,B,0:51,06:30,2013-09-10,2014-03-10,[],Calling 1 meter off the ground in Guadua Bamboo.,yes,yes,yes,,,no,,,48000
147427,Pyriglena,similis,,birds,Tapajos Fire-eye,GABRIEL LEITE,Brazil,"Itaituba, Para",-5.4957,-56.9861,150,song,male,,field recording,//xeno-canto.org/147427,https://xeno-canto.org/147427/download,XC147427-Pyriglena leuconota_Itaituba_1103.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/TGBFXDVERJ/ffts/XC147427-small.png', 'med': '//xeno-canto.org/sounds/uploaded/TGBFXDVERJ/ffts/XC147427-med.png', 'large': '//xeno-canto.org/sounds/uploaded/TGBFXDVERJ/ffts/XC147427-large.png', 'full': '//xeno-canto.org/sounds/uploaded/TGBFXDVERJ/ffts/XC147427-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/TGBFXDVERJ/wave/XC147427-small.png', 'med': '//xeno-canto.org/sounds/uploaded/TGBFXDVERJ/wave/XC147427-med.png', 'large': '//xeno-canto.org/sounds/uploaded/TGBFXDVERJ/wave/XC147427-large.png'}",//creativecommons.org/licenses/by-nc-sa/3.0/,B,0:25,09:30,2013-08-23,2013-09-13,[],,yes,yes,no,,,no,,,48000
